band,openalex_id,doi,title,publication_year,author_names,venue_name,is_oa
recent (2025–2026),https://openalex.org/W4407029908,https://doi.org/10.3897/mycokeys.113.142643,Morpho-phylogenetic evidence reveals Pseudolomaantha thailandica gen. et sp. nov. and Submultiguttulispora multiseptata gen. et sp. nov. in Chaetosphaeriaceae,2025,Jing-Yi Zhang; Kevin D. Hyde; Jian Ma; Na Wu; Fatimah Al-Otibi; Lijuan Zhang; Yong‐Zhong Lu,MycoKeys,True
recent (2025–2026),https://openalex.org/W7133508878,https://doi.org/10.1371/journal.pone.0340630,Structural and phylogenetic insights from complete chloroplast genomes of seven Vicia species,2026,Mohammad Mehdi Golchini; Aboozar Soorni,PLoS ONE,True
recent (2025–2026),https://openalex.org/W7134239287,https://doi.org/10.1002/nzb2.70065,"<i>Lasiobelonium sublanceolatum</i> sp. nov. (Solenopeziaceae, Helotiales) from Yunnan, China",2026,Hong‐Li Su; Thilini Chethana Kandawatte Wedaralalage; Kevin David Hyde; Qi Zhao,New Zealand Journal of Botany,False
recent (2025–2026),https://openalex.org/W7123579634,https://doi.org/10.3389/fmicb.2025.1677230,Glutamate potentiates susceptibility of P. aeruginosa clinical isolates to gentamycin: a new adjuvant hope for an old antibiotic,2026,Wedad M. Nageeb; ‏Helal F. Hetta; Dan Frampton; Nigel J. Saunders,Frontiers in Microbiology,True
recent (2025–2026),https://openalex.org/W7125681960,https://doi.org/10.3897/mycokeys.127.180874,"Two new species of Periconia and a new record of Paramonodictys from Miscanthus sinensis in Guizhou Province, China",2026,Lijuan Zhang; Hong-xiu LIU; Yan-Ling Yang; Xing-Juan Xiao; Xiang-Fu Liu; NING-GUO LIU; YZ Lu,MycoKeys,True
recent (2025–2026),https://openalex.org/W7126053148,https://doi.org/10.3897/mycokeys.127.173937,"Two new Neohelicomyces species (Tubeufiaceae, Tubeufiales) associated with Coffea arabica L. in Yunnan Province, China",2026,MEI-YAN HAN; Jing-Ya Yang; SC Karunarathna; Jaturong Kumla; Li Min Lu; Dege Zheng; Abdallah M. Elgorban; A. ALFAGHAM; Fu-Qiang Yu; Dong-Qin Dai; Lijuan Zhang; Nakarin Suwannarach; Saowaluck Tibpromma,MycoKeys,True
recent (2025–2026),https://openalex.org/W4414328373,https://doi.org/10.3897/mycokeys.122.164540,Morphological and multi-gene phylogenetic analyses reveal Nigrellomyces gen. nov. and one new species in Pleurotheciaceae from China,2025,Wangming Zhang; Xiaoyu Song; Wanqing Xie; Xin-zhong Zhou; Juan Lü; Qin-ying Feng,MycoKeys,True
recent (2025–2026),https://openalex.org/W7127583237,https://doi.org/10.1098/rspb.2025.2149,Tracing the origins of Antarctic periwinkles: an integrative morphological–molecular perspective on <i>Laevilacunaria</i> evolution,2026,Sebastián Rosenfeld; Claudia S. Maturana; Moisés ALONSO VALLADARES; Hamish G. Spencer; Thomas Saucède; Paul Brickle; Paula M. Vidal; Guillaume Schwob; Quentin Jossart; Élie Poulin; Claudio González-Wevar,Proceedings of the Royal Society B Biological Sciences,True
recent (2025–2026),https://openalex.org/W7140214411,https://doi.org/10.3390/jof12040231,Natural Selection Drives AT-Biased Codon Usage in Mitochondrial Genomes of Early-Diverging Conidiobolus Fungi (Zoopagomycota),2026,Yanan Cao; Xianli Guo; Jialin Yang; Xiyue Yan; Yanping Xu; Qiang Li; Zehou Liu,Journal of Fungi,True
recent (2025–2026),https://openalex.org/W4411782738,https://doi.org/10.1093/isd/ixaf020,"Phylogeny, molecular species delimitation, and biogeography of the cryptic subgenus <i>Ulopsina</i> (Hemiptera: Cicadellidae: Ulopinae)",2025,Dongming Wang; Chris H. Dietrich; Qingquan Xue; Yanghui Cao; Yalin Zhang,Insect Systematics and Diversity,False
